Name_Adopt,RA_Adopt,Dec_Adopt,zem_Adopt,RA_UVES,Dec_UVES,RA_SSS,Dec_SSS,B_SSS,R1_SSS,R2_SSS,I_SSS,Name_SDSS,zem_SDSS,u_SDSS,g_SDSS,r_SDSS,i_SDSS,z_SDSS,Name_NED,zem_NED,Name_SIMBAD,zem_SIMBAD,Spec_status,NumExp,ExpTime,WavStart,WavEnd,WavCoverage,Dispersion,CNR,ResPowerNom,SlitWidths,Binnings,Settings,Seeing,ProgIDs,PIObjNames,DLAzabs,DLAlogNHI,DLAelogNHI,DLAReference
J000322-260318,00:03:22.94,-26:03:18.3,4.098,00:03:23.05,-26:03:19.3,00:03:22.947,-26:03:18.37,19.548,17.155,16.94,16.741,,,,,,,,[HB89] 0000-263,4.098,QSO B0000-26,4.111,"1,2",4,16100,3772.3705712481,8520.6180691971,"3951.76-4980.53,4986.31-5000.38,6731.41-8520.62",2.5,"0,65,0,0,48","0.0,54.5,0.0,0.0,52.0",0.9,2x2,"437,860","0.34,0.49,1.97",60.A-9022(A),q00m26,,,,
J000344-232355,00:03:44.91,-23:23:55.3,2.28,00:03:45.00,-23:23:55.0,00:03:44.914,-23:23:55.33,16.751,16.689,16.471,15.934,,,,,,,,HE 0001-2340,2.28,QSO B0001-2340,2.28,0,26,108482,3046.8826932926,10256.5078264323,"3064.01-4893.83,4898.29-4901.84,4904.58-4949.12,4954.43-5234.93,5241.38-8789.49,8795.09-9767.57,9776.01-9925.47,9930.59-9963.37,9966.27-10088.23,10097.46-10256.51",1.3,"36,66,97,106,99","60.1,60.1,53.7,53.7,50.8","0.7,1.0","1x1,2x2","346,390,420,437,580,700,760,860","0.40,0.94,2.20","083.A-0733(A),083.A-0733(I),166.A-0106(A)","he0001m2340,hem0001mm2340",,,,
J000448-415728,00:04:48.27,-41:57:28.1,2.76,00:04:48.10,-41:57:28.0,00:04:48.271,-41:57:28.19,17.912,17.454,17.138,16.862,,,,,,,,TOLOLO 0002-422,2.76,QSO B0002-4214,2.76,0,46,178664,3045.9376608482,10430.1038054271,"3048.50-10087.93,10088.87-10256.09,10259.71-10430.10",2.0,"49,113,122,144,101","49.8,55.8,47.8,50.6,47.8","0.8,1.0","1x1,2x2","346,390,437,564,580,760,860","0.37,0.80,2.81","166.A-0106(A),185.A-0745(C),185.A-0745(F)",q0002m422,,,,
J000852-290043,00:08:52.70,-29:00:43.7,2.645,00:08:52.74,-29:00:43.6,00:08:52.707,-29:00:43.76,19.161,18.274,18.173,17.925,,,,,,,,2QZ J000852.7-290044,2.645,QSO B0006-2917,2.645,0,6,24000,3283.1747294512,10429.4198840168,"3295.68-4983.74,5677.60-5920.92,5931.10-5981.86,5987.85-9614.28,9619.09-9766.85,9775.00-9924.40,9936.91-10087.19,10094.26-10255.47,10279.95-10429.42",2.5,"16,165,0,46,41","41.5,41.5,0.0,41.1,41.1","1.1,1.2",2x2,"390,437,760,860","0.62,0.80,1.09","075.A-0617(A),70.A-0031(A)","2qzmj000857.7m290126,pairmam1",,,,
J000857-290126,00:08:57.72,-29:01:26.4,2.607,00:08:57.73,-29:01:26.4,00:08:57.729,-29:01:26.43,19.928,19.34,19.412,19.062,,,,,,,,2QZ J000857.7-290126,2.607,QSO B0006-2918,2.607,0,6,17700,3282.7429758311,10433.7893169477,"3323.54-4983.75,5678.99-5744.53,5759.59-7966.32,7966.85-8366.46,8369.18-9001.64,9004.41-9403.62,9405.35-9428.59,9434.17-9441.34,9442.52-9614.06,9626.25-9766.79,9776.24-9924.59,9940.32-10088.05,10104.89-10257.62,10289.75-10433.79",2.5,"5,16,0,16,16","41.5,41.5,0.0,41.1,41.1","1.1,1.2",2x2,"390,437,760,860","0.58,0.95,1.50","075.A-0617(A),70.A-0031(A)","2qzmj000852.7m290044,pairmam2",,,,
J001130+005550,00:11:30.55,+00:55:50.8,2.29,00:11:30.57,+00:55:50.8,00:11:30.556,+00:55:50.89,19.16,,18.431,17.69,SDSS J001130.55+005550.8,2.29,20.022,19.055,18.69,18.29,17.99,[HB89] 0008+006,2.309,[HHB2004] A1,2.291,0,2,7200,3760.2056874305,10431.6241164128,"3760.21-4984.30,6691.83-6769.90,6779.11-6920.88,6929.37-8516.12,8660.28-9767.77,9776.00-9925.17,9939.59-10087.97,10107.59-10256.61,10284.27-10431.62",2.5,"0,8,0,0,17","0.0,49.8,0.0,0.0,47.8",1,2x2,"437,860","NA,NA,NA",267.B-5698(A),j0011p0055,,,,
J001210-012207,00:12:10.88,-01:22:07.6,1.999,00:12:10.93,-01:22:07.7,00:12:10.881,-01:22:07.65,17.672,,17.421,16.748,,,,,,,,LBQS 0009-0138,1.999,LBQS 0009-0138,1.998,0,2,6000,3282.3378603186,6812.4924176415,"3292.48-4519.42,4780.91-4807.46,4812.27-4845.29,4850.14-4883.99,4889.49-4923.00,4927.97-4951.70,4967.83-5578.18,5578.69-5759.74,5836.86-6064.66,6072.00-6301.29,6301.76-6812.49",2.5,"10,12,26,25,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,580","0.86,1.06,1.23",078.A-0003(A),q0009m016,,,,
J001643-575056,00:16:43.49,-57:50:56.5,1.778,00:16:43.52,-57:50:56.8,00:16:43.494,-57:50:56.53,17.221,16.57,16.496,16.089,,,,,,,,,,,,0,1,1980,3282.7448768873,6656.3703756988,"3289.18-3801.41,3801.67-4519.87,4622.25-5312.09,5312.36-5600.36,5678.19-6303.39,6303.75-6652.87",2.5,"9,10,23,25,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,564","0.96,1.07,1.18",078.A-0068(A),he0014m5807,,,,
J002110-242248,00:21:10.75,-24:22:48.8,2.256,00:21:10.70,-24:22:49.0,00:21:10.753,-24:22:48.89,18.004,17.844,17.412,17.29,,,,,,,,,,,,0,1,2412,3282.6927964724,6654.7662516298,"3290.94-4519.42,4622.18-5578.32,5578.60-5602.28,5676.82-6283.71,6284.02-6486.29,6486.40-6514.10,6514.21-6553.54,6553.71-6585.65,6585.87-6643.51,6643.62-6654.77",2.5,"5,6,14,13,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,564","1.41,1.54,1.68",078.A-0068(A),he0018m2439,,,,
J002133+004300,00:21:33.27,+00:43:00.9,1.245,00:21:33.21,+00:43:01.1,00:21:33.261,+00:43:01.08,18.405,17.521,17.53,17.258,SDSS J002133.27+004300.9,1.245,17.975,17.871,17.559,17.505,17.452,LBQS 0018+0026,1.244,LBQS 0018+0026,1.243,0,1,3000,3283.107248434,6654.4965017071,"3291.28-3407.46,3407.74-3455.90,3456.08-4210.24,4210.45-4326.74,4326.99-4370.80,4371.13-4500.28,4500.51-4519.43,4620.83-4704.55,4704.82-5004.76,5005.09-5221.59,5221.85-5456.17,5456.49-5578.23,5578.69-5601.30,5678.24-5703.49,5703.59-5752.07,5752.16-5761.57,5761.67-6158.90,6159.00-6363.29,6363.39-6427.87,6427.98-6574.35,6574.52-6630.95,6631.12-6654.50",2.5,"7,7,18,18,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,564","1.00,1.21,1.43",078.A-0003(A),q0021p0043,,,,
