Name_Adopt,RA_Adopt,Dec_Adopt,zem_Adopt,RA_UVES,Dec_UVES,RA_SSS,Dec_SSS,B_SSS,R1_SSS,R2_SSS,I_SSS,Name_SDSS,zem_SDSS,u_SDSS,g_SDSS,r_SDSS,i_SDSS,z_SDSS,Name_NED,zem_NED,Name_SIMBAD,zem_SIMBAD,Spec_status,NumExp,ExpTime,WavStart,WavEnd,WavCoverage,Dispersion,CNR,ResPowerNom,SlitWidths,Binnings,Settings,Seeing,ProgIDs,PIObjNames,DLAzabs,DLAlogNHI,DLAelogNHI,DLAReference
J000149-015939,00:01:49.94,-01:59:39.4,2.815,00:01:49.93,-01:59:40.0,00:01:49.943,-01:59:39.34,18.689,18.309,18.524,18.586,SDSS J000149.94-015939.4,2.815,20.258,18.95,18.786,18.822,18.629,LBQS 2359-0216B,2.817,[LE2003] Q2359-02A,0.0,0,6,21300,3049.1768815312,10429.1067549443,"3231.17-5760.12,5761.28-9611.19,9619.29-9762.24,9773.24-9912.94,9927.75-10087.31,10093.87-10255.33,10268.16-10429.11",2.5,"6,12,12,15,11","49.8,49.8,52.0,49.9,52.0","0.9,1.0",2x2,"346,390,437,580,760,860","0.56,1.50,2.03","073.B-0787(A),66.A-0624(A)","q2359m0216,q2359m022",,"20.65,20.3","0.1,0.1",Zafar et al. (2013)
J000852-290043,00:08:52.70,-29:00:43.7,2.645,00:08:52.74,-29:00:43.6,00:08:52.707,-29:00:43.76,19.161,18.274,18.173,17.925,,,,,,,,2QZ J000852.7-290044,2.645,QSO B0006-2917,2.645,0,6,24000,3283.1747294512,10429.4198840168,"3295.68-4983.74,5677.60-5920.92,5931.10-5981.86,5987.85-9614.28,9619.09-9766.85,9775.00-9924.40,9936.91-10087.19,10094.26-10255.47,10279.95-10429.42",2.5,"16,165,0,46,41","41.5,41.5,0.0,41.1,41.1","1.1,1.2",2x2,"390,437,760,860","0.62,0.80,1.09","075.A-0617(A),70.A-0031(A)","2qzmj000857.7m290126,pairmam1",,,,
J000857-290126,00:08:57.72,-29:01:26.4,2.607,00:08:57.73,-29:01:26.4,00:08:57.729,-29:01:26.43,19.928,19.34,19.412,19.062,,,,,,,,2QZ J000857.7-290126,2.607,QSO B0006-2918,2.607,0,6,17700,3282.7429758311,10433.7893169477,"3323.54-4983.75,5678.99-5744.53,5759.59-7966.32,7966.85-8366.46,8369.18-9001.64,9004.41-9403.62,9405.35-9428.59,9434.17-9441.34,9442.52-9614.06,9626.25-9766.79,9776.24-9924.59,9940.32-10088.05,10104.89-10257.62,10289.75-10433.79",2.5,"5,16,0,16,16","41.5,41.5,0.0,41.1,41.1","1.1,1.2",2x2,"390,437,760,860","0.58,0.95,1.50","075.A-0617(A),70.A-0031(A)","2qzmj000852.7m290044,pairmam2",,,,
J004131-493611,00:41:31.43,-49:36:11.5,3.24,00:41:31.53,-49:36:11.4,00:41:31.435,-49:36:11.53,17.352,16.435,16.451,16.266,,,,,,,,CTQ 0408,3.24,[LMM2001] CTQ 408 18,1.498,0,5,14691,3284.3796094921,9465.7559316039,"3284.38-3358.92,3359.20-5176.30,5176.73-5599.22,5675.76-7523.94,7671.11-7752.01,7752.59-8095.55,8098.93-9465.76",2.5,"10,51,33,87,62","59.8,59.8,56.9,56.9,56.9",0.8,2x2,"390,437,564,760","0.62,0.70,1.11","072.A-0442(A),68.A-0362(A)","ctm408,ctq408",,20.46,0.13,Zafar et al. (2013)
J004342-262209,00:43:42.78,-26:22:09.7,3.053,00:43:42.61,-26:22:11.0,00:43:42.786,-26:22:09.77,18.494,17.702,17.973,17.349,,,,,,,,LBQS 0041-2638,3.053,LBQS 0041-2638,3.053,0,2,3600,3758.3503022144,10428.9986470853,"3758.35-4982.25,6701.70-6777.80,6782.66-6849.90,6859.45-6931.33,6941.16-6992.87,6999.11-8524.49,8662.07-9766.78,9774.68-9924.25,9943.72-10086.95,10107.49-10255.05,10282.20-10429.00",2.5,"0,14,0,0,16","0.0,45.5,0.0,0.0,44.2",1.1,2x2,"437,860","0.86,0.97,0.99",70.A-0031(A),sgp4,,,,
J004351-265128,00:43:51.85,-26:51:28.1,2.786,00:43:51.78,-26:51:27.9,00:43:51.858,-26:51:28.11,18.371,17.547,17.872,17.453,,,,,,,,LBQS 0041-2707,2.786,LBQS 0041-2707,2.786,0,2,3600,3758.3490050794,10429.0820161392,"3758.35-4983.91,6702.14-6778.64,6782.60-6853.56,6861.45-6934.85,6941.33-6991.58,7001.73-8524.99,8662.79-10086.94,10088.54-10255.13,10267.54-10429.08",2.5,"0,15,0,0,16","0.0,45.5,0.0,0.0,44.2",1.1,2x2,"437,860","0.80,1.16,1.26",70.A-0031(A),sgp9,,,,
J004452-264009,00:44:52.24,-26:40:09.0,3.33,00:44:52.04,-26:40:10.0,00:44:52.248,-26:40:09.07,19.434,18.358,18.283,18.048,,,,,,,,[WHO91] 0042-269,3.33,QSO B0042.8-2656,3.358,0,4,9600,3758.3458398159,10429.9429565473,"3885.37-5162.03,5233.59-6207.44,6702.14-6779.54,6781.58-6853.78,6858.07-6934.15,6940.46-6992.86,6996.77-8524.98,8662.86-10087.10,10088.70-10255.47,10260.26-10429.94",2.5,"0,16,16,0,11","0.0,48.7,52.0,0.0,44.2","0.9,1.1",2x2,"437,520,860","0.61,0.76,1.37","088.A-0885(A),70.A-0031(A)","q0042m2656,sgp3",,,,
J004519-264050,00:45:19.57,-26:40:50.6,2.898,00:45:19.46,-26:40:49.4,00:45:19.570,-26:40:50.63,19.132,18.572,18.656,18.436,,,,,,,,LBQS 0042-2657,2.898,LBQS 0042-2657,2.898,0,3,5400,3758.3459193674,10431.9438171981,"3758.35-4983.91,6702.14-6778.92,6781.69-6837.51,6842.64-6850.81,6858.81-6931.49,6941.32-6989.24,6998.34-8447.63,8455.73-8524.98,8664.88-9614.28,9632.18-9766.77,9785.68-9924.32,9943.21-10087.44",2.5,"0,10,0,0,12","0.0,45.5,0.0,0.0,44.2",1.1,2x2,"437,860","1.19,1.27,1.64",70.A-0031(A),sgp6,,,,
J010311+131617,01:03:11.27,+13:16:17.7,2.705,01:03:11.27,+13:16:18.9,01:03:11.276,+13:16:17.79,16.709,16.075,16.112,15.855,SDSS J010311.27+131617.7,2.705,17.302,16.592,16.379,16.254,16.171,[HB89] 0100+130,2.681,QSO B0100.6+1300,2.686,0,5,22600,3281.7803085303,10430.6426167431,"3285.59-4522.42,4890.21-4916.54,4926.56-4960.11,4969.39-5038.91,5051.61-5859.08,5946.65-6164.53,6169.05-6926.12,6942.89-6993.44,6996.77-7966.04,7968.23-8514.25,8659.97-8920.84,8923.89-9081.32,9097.31-9504.68,9507.29-9520.86,9524.19-9925.15,9929.62-9949.35,9950.34-10086.77,10110.35-10256.33,10269.76-10420.30,10422.56-10430.64",2.5,"29,66,66,65,48","49.8,49.8,52.0,52.0,52.0","0.9,1.0",2x2,"390,590,860","0.79,0.98,1.79","074.A-0201(A),67.A-0022(A)",q0100p13,,21.35,0.08,Zafar et al. (2013)
J010516-184642,01:05:16.78,-18:46:42.0,3.025,01:05:16.73,-18:46:41.3,01:05:16.789,-18:46:42.03,18.257,17.568,17.289,17.358,,,,,,,,UM 669,3.025,QSO B0102-1902,3.037,0,4,18900,3288.0880485036,10431.2746427488,"3551.05-5130.38,5133.24-5354.52,5362.25-5405.49,5406.75-5577.52,5579.57-5594.71,5602.51-5624.27,5650.70-7896.55,7901.88-7963.40,7968.72-8919.30,8925.18-9324.68,9327.25-9441.34,9443.23-9446.54,9448.43-9504.46,9506.36-9792.81,9796.48-9920.95,9932.54-9946.30,9950.95-9962.74,9966.39-10014.38,10017.05-10087.89,10093.53-10125.14,10128.35-10173.38,10176.52-10211.63,10214.27-10227.05,10229.87-10243.87,10245.58-10256.52,10268.50-10288.21,10290.27-10374.63,10377.05-10429.19",2.5,"0,30,14,28,30","0.0,49.8,47.8,47.8,47.8",1,2x2,"390,410,437,564,740,860","0.65,1.06,1.59","67.A-0146(A),68.A-0600(A)","q0102,qsom0102m1902",,21,0.08,Zafar et al. (2013)
